T_1a-lh,T_1b-lh,T_2a-LH,T_sat.lh,S.H_lh coil,D_coil lh,H_coil lh,S_coil lh,T_1a-ctr,T_1b-ctr,T_2a-ctr,T_sat.ctr,S.H_ctr coil,D_coil ctr,H_coil ctr,S_coil ctr,T_1a-rh,T_1c-rh,T_2a-RH,T_sat.rh,S.H_rh coil,D_coil rh,H_coil rh,S_coil rh,P_suction,T_2b,T_sat.comp.in,S.H_total,D_comp.in,H_comp.in,S_comp.in,T_3a,rpm,T_3b,P_disch,T_4a,T_sat.cond,S.C,T_4b-lh,T_sat.txv.lh,S.C-txv.lh,H_txv.lh,T_4b-ctr,T_sat.txv.ctr,S.C-txv.ctr,H_txv.ctr,T_4b-rh,T_sat.txv.rh,S.C-txv.rh,H_txv.rh,h_2b,h_3a,h_3b,h_4a,h_2a_LH,h_2a_CTR,h_2a_RH,h_4b_LH,h_4b_CTR,h_4b_RH,P_suc,P_cond
45.298885,45.298885,49.836865,45.35948206400011,4.477382935999901,12.648280149750105,587.4319770538077,2.3808851296672757,42.656569,42.656569,45.268273,45.35948206400011,-0.09120906400004287,518.445938518932,218.6441284560949,1.0665411676605339,36.845034,36.845034,44.294799,45.35948206400011,-1.0646830640000757,519.2246260879477,217.2657027962859,1.0616226253291339,71.073178,70.145374,45.35948206400011,24.785891935999928,11.936874413448455,607.8982699266658,2.4517837949939425,81.271944,62.818612,79.055405,71.116654,75.522622,45.39109691225269,-30.131525087747388,48.478362,45.39109691225269,-3.087265087747369,586.0537031973151,44.718543,45.39109691225269,0.6725539122526698,217.86553980894973,44.351453,45.39109691225269,1.0396439122525862,217.34598538084575,607.8982699266658,619.1736041387354,616.919812226287,613.333467251816,587.4319770538077,218.6441284560949,217.2657027962859,586.0537031973151,217.86553980894973,217.34598538084575,591385.47674728,591685.23333304
47.160696,47.160696,50.458391,45.801472783313066,4.656918216687029,12.729085702080788,587.8812195695753,2.3813023227474366,44.166753,44.166753,46.174279,45.801472783313066,0.37280621668697905,12.896007271779661,583.5694553350994,2.36602391938769,39.990497,39.990497,45.163122,45.801472783313066,-0.6383507833130693,518.5397498660208,218.4968992000571,1.065987385478268,71.682475,70.38216,45.801472783313066,24.580687216686954,12.025461134587207,607.9842925386743,2.4508850099618207,80.983952,189.971387,78.943731,71.086825,75.948621,45.369407157657484,-30.579213842342586,49.045383,45.369407157657484,-3.6759758423426208,586.6323812991491,45.779381,45.369407157657484,-0.4099738423425265,583.3497150931403,45.144647,45.369407157657484,0.22476015765743113,218.46897697279138,607.9842925386743,618.887641495236,616.813458217669,613.7728114459115,587.8812195695753,583.5694553350994,218.4968992000571,586.6323812991491,583.3497150931403,218.46897697279138,595586.433331,591479.569537
48.75154,48.75154,51.009517,45.9906095133917,5.018907486608327,12.752855093817855,588.3607427753155,2.3824939698562955,45.087588,45.087588,46.635371,45.9906095133917,0.6447614866083086,12.923427032510464,583.9557513661732,2.3669007553240213,42.06465,42.06465,45.73955,45.9906095133917,-0.25105951339160126,518.0816869698774,219.31486523401927,1.0688898019639488,71.944182,70.505739,45.9906095133917,24.515129486608384,12.062808719455544,608.0434441501659,2.4505771581039855,80.782643,75.011835,78.292393,73.891002,76.136138,47.38447455857113,-28.7516634414289,49.254005,47.38447455857113,-1.869530441428958,586.0225572117968,46.419639,47.38447455857113,0.9648355585710533,220.2856924778934,45.639143,47.38447455857113,1.7453315585710698,219.17809503865374,608.0434441501659,618.017796396258,615.4766311353642,613.2789036198257,588.3607427753155,583.9557513661732,219.31486523401927,586.0225572117968,220.2856924778934,219.17809503865374,597390.8402863201,610813.69694952
49.887797,49.887797,51.506025,46.45846193155138,5.047563068448653,12.84512184437909,588.6742124811107,2.382364949995095,45.828802,45.828802,47.204422,46.45846193155138,0.7459600684487327,13.014259753525792,584.3361274007901,2.3670246527423435,43.394508,43.394508,46.092625,46.45846193155138,-0.3658369315513482,517.8083917356132,219.81771515313648,1.0706492606960372,72.594067,70.649839,46.45846193155138,24.191377068448663,12.160958928281852,608.0254598594506,2.449260250166512,80.54873,112.0,77.868385,74.956599,76.207667,48.13783467622733,-28.069832323772594,49.631355,48.13783467622733,-1.4935203237726569,586.0907081824099,46.816553,48.13783467622733,1.321281676227295,220.85257536737848,45.947791,48.13783467622733,2.1900436762272077,219.61896862830852,608.0254598594506,617.5242616143365,614.7853683531024,613.090177008164,588.6742124811107,584.3361274007901,219.81771515313648,586.0907081824099,220.85257536737848,219.61896862830852,601871.64138892,618160.73252124
50.66512,50.66512,52.006777,47.33113195403911,4.675645045960925,13.035342732722128,588.8281474010615,2.380615390393882,46.543608,46.543608,47.836853,47.33113195403911,0.5057210459609791,13.202477531636685,584.6117581798453,2.3657220148927607,44.397294,44.397294,46.538017,47.33113195403911,-0.7931149540390038,517.4695874309016,220.45361122606027,1.0728535121881237,73.815908,70.706115,47.33113195403911,23.37498304596094,12.353106308651435,607.7733229767936,2.446071731472797,80.220202,0.0,77.701655,74.925792,76.292021,48.116147843273396,-28.175873156726787,49.972025,48.116147843273396,-1.8558771567266377,586.4450791327218,47.232724,48.116147843273396,0.8834238432733172,221.44415207719408,46.414214,48.116147843273396,1.7019338432732638,220.28093182395693,607.7733229767936,617.1957483053747,614.6226228970579,613.1838224748473,588.8281474010615,584.6117581798453,220.45361122606027,586.4450791327218,221.44415207719408,220.28093182395693,610295.94184208,617948.32564992
51.168049,51.168049,52.435062,47.50180935424447,4.933252645755613,13.05979809604533,589.192133872977,2.3814485254250197,46.892777,46.892777,48.351653,47.50180935424447,0.8498436457555159,13.223562205950355,585.0610373215137,2.366869919287217,45.228486,45.228486,46.813143,47.50180935424447,-0.6886663542443898,517.2518837345194,220.84519438616897,1.0742341541599003,74.056348,70.821792,47.50180935424447,23.319982645755534,12.387450692924203,607.8298995113429,2.4458089550932804,79.97287,42.958017,77.699813,74.3387,76.406574,47.70180203025111,-28.70477196974904,50.668935,47.70180203025111,-2.9671329697488886,587.3229747005449,47.585762,47.70180203025111,0.1160400302511448,221.94480614567902,46.699636,47.70180203025111,1.0021660302511122,220.68469516274044,607.8298995113429,617.0838276166787,614.7636404346031,613.4447607415716,589.192133872977,585.0610373215137,220.84519438616897,587.3229747005449,221.94480614567902,220.68469516274044,611953.7179364801,613900.467212
51.604797,51.604797,52.679138,47.21222846649031,5.466909533509773,12.980303563746425,589.5560291971184,2.3834858825523915,47.264792,47.264792,48.396855,47.21222846649031,1.184626533509777,13.150461849589417,585.2274569309427,2.3682147094731962,45.706758,45.706758,47.055502,47.21222846649031,-0.1567264664902268,517.0500355171234,221.18856862217248,1.0754734973326276,73.648689,70.897686,47.21222846649031,23.685457533509727,12.320038888873647,608.0103333571997,2.4471930742719743,79.93212,40.872756,77.691126,73.2595,76.525222,46.93484382083189,-29.590378179168226,50.432369,46.93484382083189,-3.4975251791681217,587.3981350055346,47.959242,46.93484382083189,-1.024398179168236,584.9005230677024,46.832325,46.93484382083189,0.10251882083183546,220.8702147779507,608.0103333571997,617.3005905612696,615.0167255615823,613.829567165744,589.5560291971184,585.2274569309427,221.18856862217248,587.3981350055346,584.9005230677024,220.8702147779507,609143.00696964,606459.64222
51.823922,51.823922,52.894584,48.15998395059442,4.73460004940556,13.201777854246673,589.3893947752313,2.3804227149537676,47.635495,47.635495,49.029858,48.15998395059442,0.8698740494056892,13.358835366564206,585.4716918132618,2.3666125823651827,46.106412,46.106412,47.251878,48.15998395059442,-0.9081059505943472,516.9130538976581,221.47156766010636,1.0764151370217847,74.988071,70.984051,48.15998395059442,22.82406704940563,12.530421982984599,607.7583367992132,2.443816898773981,79.56353,102.288215,77.822587,73.371664,76.663186,47.01487887807167,-29.648307121928404,50.898365,47.01487887807167,-3.883486121928365,587.8362626644744,48.068146,47.01487887807167,-1.0532671219284566,584.9773003037168,47.037679,47.01487887807167,-0.02280012192838967,583.9364039573502,607.7583367992132,616.8978912335551,615.1234691512245,613.9426570446142,589.3893947752313,585.4716918132618,221.47156766010636,587.8362626644744,584.9773003037168,583.9364039573502,618377.7244079601,607232.98608064
51.875484,51.875484,53.030367,47.85383495562528,5.176532044374755,13.121720261132094,589.6518390192973,2.3821430517777977,47.990947,47.990947,49.203479,47.85383495562528,1.3496440443747815,13.275718485984173,585.7760657142874,2.3684848634595563,46.366821,46.366821,47.404513,47.85383495562528,-0.44932195562520294,516.7829104530455,221.68748605466203,1.0772022821767087,74.553786,71.118655,47.85383495562528,23.264820044374837,12.456541903692953,608.0056304092041,2.4454684869009844,79.524945,0.0,77.902967,75.521006,76.7892,48.53418152312024,-28.255018476879854,51.281199,48.53418152312024,-2.747017476879762,587.5983809050045,48.336652,48.53418152312024,0.19752952312016986,223.01746439845724,47.096853,48.53418152312024,1.4373285231202317,221.2525999642316,608.0056304092041,616.3415582878524,614.6831936645177,613.5451844447913,589.6518390192973,585.7760657142874,221.68748605466203,587.5983809050045,223.01746439845724,221.2525999642316,615383.43356136,622052.1833285601
52.124155,52.124155,53.296771,48.01534404330805,5.28142695669195,13.150465556861471,589.8560561746302,2.3824381201956233,48.333408,48.333408,49.560238,48.01534404330805,1.5448939566919535,13.301088974643077,586.0699147047865,2.3691039304331314,46.650531,46.650531,47.628496,48.01534404330805,-0.38684804330806627,516.6056776613983,222.00685308190077,1.0783248718841614,74.782699,71.238314,48.01534404330805,23.222969956692033,12.488912525187638,608.0693392912905,2.4452554386526506,79.36745,31.012249,78.021086,70.206763,76.887664,44.726954071147375,-32.16070992885269,51.680355,44.726954071147375,-6.953400928852693,589.5320966711407,48.656735,44.726954071147375,-3.9297809288527104,586.4977832893903,47.225278,44.726954071147375,-2.498323928852676,585.0616740125419,608.0693392912905,617.4532713416191,616.0871883973963,614.9379835952572,589.8560561746302,586.0699147047865,222.00685308190077,589.5320966711407,586.4977832893903,585.0616740125419,616961.73375724,585411.75326188
41.597003,41.597003,53.877162,-16.116871410599273,69.99403341059929,3.672125833328851,606.1361116286641,2.6453717527176357,38.308633,38.308633,48.144796,-16.116871410599273,64.26166741059936,3.7187524789263575,600.8785774641121,2.6268404208946365,37.515045,37.515045,42.586248,-16.116871410599273,58.703119410599356,3.7652586743402043,595.815413345883,2.6087946978854606,12.930356,45.361338,-16.116871410599273,61.47820941059926,3.741877493047034,598.3389234603312,2.6178136171558943,102.983418,1961.378796,107.226,142.18631,87.081117,86.1827047261631,-0.8984122738369251,80.818846,86.1827047261631,5.3638587261630395,270.8940581216183,75.598062,86.1827047261631,10.584642726162997,262.9972411473741,61.94788,86.1827047261631,24.234824726163083,242.7905393982549,598.3389234603312,624.9426769272753,629.7779218334579,606.6722854551772,606.1361116286641,600.8785774641121,595.815413345883,270.8940581216183,262.9972411473741,242.7905393982549,190504.67333456,1081693.4547356
